2024-12-19 10:27:22.486 [main] INFO  c.n.p.boot.BootApplicationStart -The following profiles are active: debug
2024-12-19 10:27:36.234 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/DeleteAdvertCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/ListAdvertCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/ListAdvertItemsCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/ListAdvertPhotoAndVediosCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/ListAdvertPhotoCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/ListAdvertsCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/SaveAdvertCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/advert/UpdateAdvertCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/app/GetAppVersionCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/ApplyApplicationKeyCmd.class]
2024-12-19 10:27:36.235 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/ApplyVisitorApplicationKeyCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/AuditApplicationKeyCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/AuthApplicationKeyCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/DeleteApplicationKeyCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/ListApplicationKeysCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/SaveApplicationKeyCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/applicationKey/UpdateApplicationKeyCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/area/ListAreas.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/AttendanceReplenishCheckInCmd.class]
2024-12-19 10:27:36.236 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/CheckInCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/DeleteAttendanceClassesCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/DeleteAttendanceClassesStaffCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/GetMonthAttendanceCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/ListAttendanceClassesStaffCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/ListAttendanceClassessCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/SaveAttendanceClassesCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/SaveAttendanceClassesStaffCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/UpdateAttendanceClassesCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/attendanceClasses/UpdateAttendanceClassesStaffCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/DeleteAuditUserCmd.class]
2024-12-19 10:27:36.237 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/ListAuditComplaintsCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/ListAuditHistoryComplaintsCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/ListAuditHistoryOrdersCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/ListAuditOrdersCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/ListAuditUsersCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/ListItemOutAuditHistoryOrdersCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/auditUser/SaveAuditUserCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInout/DeleteCarInoutCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInout/ListCarInParkingAreaCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInout/ListCarInoutCmd.class]
2024-12-19 10:27:36.238 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInout/SaveCarInoutCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInout/UpdateCarInoutCarNumCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInout/UpdateCarInoutCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInoutDetail/ListCarInoutDetailCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInoutPayment/ListCarInoutPaymentCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/carInoutPayment/ListCarInoutPaymentSummaryCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeCard/DeleteChargeMonthCardCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeCard/ListChargeMonthCardCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeCard/ListChargeMonthOrderCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeCard/SaveChargeMonthCardCmd.class]
2024-12-19 10:27:36.239 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeCard/SaveChargeMonthOrderCmd.class]
2024-12-19 10:27:36.240 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeCard/UpdateChargeMonthCardCmd.class]
2024-12-19 10:27:36.240 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/chargeMachine/DeleteChargeMachineCmd.class]
